Position,Name,Jersey,Rating,Raking,Depth,Height,Weight,Age,Birthday,Experience,College,Team
SF,Josh Jackson,20,74,#54 SF,3,"6' 7""",205,22,10/2/1997,3rd season,Kansas,Memphis Grizzeles
SF,Yuta Watanabe,18,69,#70 SF,,"6' 7""",202,25,10/13/94,2nd season,George Washington,Memphis Grizzeles
PF,Justise Winslow,20,78,#41 PF,1,"6' 5""",224,23,3/26/96,5th season,Duke,Memphis Grizzeles
PF,Brandon Clarke,15,81,#25 PF,2,"6' 7""",209,23,9/19/96,Rookie,,Memphis Grizzeles
PF,Kyle Anderson,1,75,#71 PF,2,"6' 9""",229,26,9/20/93,6th season,UCLA,Memphis Grizzeles
PF,Anthony Tolliver,43,70,#74 PF,3,"6' 7""",238,34,1/6/1985,12th season,Creighton,Memphis Grizzeles
C,Jonas Valanciunas,17,83,#10 C,1,"6' 11""",264,27,6/5/1992,8th season,,Memphis Grizzeles
C,Jaren Jackson Jr.,13,81,#12 C,1,"6' 11""",240,20,9/15/99,2nd season,Michigan State,Memphis Grizzeles
C,Gorgui Dieng,5,77,#59 C,2,"6' 9""",251,29,1/18/90,7th season,Louisville,Memphis Grizzeles
C,Jordan Bell,7,75,#73 C,3,"6' 7""",213,24,7/1/1995,3rd season,Oregon,Memphis Grizzeles
PG,Goran Dragic,7,82,#43 PG,2,"6' 2""",189,33,6/5/1986,12th season,,Miami Heat
PG,Gabe Vincent,2,70,#108 PG,,"6' 2""",198,23,6/14/96,Rookie,UC Santa Barbara,Miami Heat
SG,Kendrick Nunn,25,80,#29 SG,1,"6' 2""",189,24,3/8/1995,Rookie,,Miami Heat
SG,Tyler Herro,14,74,#15 SG,3,"6' 5""",198,19,1/20/00,Rookie,Kentucky,Miami Heat
SF,Jimmy Butler,22,87,#3 SF,1,"6' 7""",229,30,9/14/89,9th season,Marquette,Miami Heat
SF,Derrick Jones Jr.,5,78,#27 SF,2,"6' 5""",209,22,2/15/97,4th season,UNLV,Miami Heat
SF,Andre Iguodala,28,77,#14 SF,2,"6' 5""",213,35,1/28/84,16th season,Arizona,Miami Heat
SF,Jae Crowder,99,76,#47 SF,3,"6' 5""",233,29,6/7/1990,8th season,Marquette,Miami Heat
SF,Solomon Hill,44,75,#56 SF,4,"6' 5""",224,28,3/18/91,7th season,Arizona,Miami Heat
SF,KZ Okpala,4,74,#57 SF,5,"6' 7""",213,20,4/28/99,Rookie,Stanford,Miami Heat
PF,Duncan Robinson,55,80,#23 PF,1,"6' 7""",213,25,4/22/94,2nd season,,Miami Heat
PF,Chris Silva,30,74,#90 PF,2,"6' 7""",229,23,9/19/96,Rookie,South Carolina,Miami Heat
PF,Kyle Alexander,45,66,#87 PF,,"6' 11""",220,23,10/21/96,Rookie,Tennessee,Miami Heat
C,Bam Adebayo,13,86,#7 C,1,"6' 9""",253,22,7/18/97,3rd season,Kentucky,Miami Heat
C,Meyers Leonard,0,76,#53 C,1,"6' 11""",257,27,2/27/92,8th season,Illinois,Miami Heat
C,Kelly Olynyk,9,79,#35 C,2,"6' 11""",238,28,4/19/91,7th season,Gonzaga,Miami Heat
C,Udonis Haslem,40,73,#99 C,3,"6' 7""",233,39,9/6/1980,17th season,Florida,Miami Heat
PG,Eric Bledsoe,6,84,#36 PG,1,"6' 0""",202,29,9/12/1989,10th season,Kentucky,Milwaukee Bucks
PG,George Hill,3,79,#25 PG,2,"6' 2""",187,33,4/5/1986,12th season,IUPUI,Milwaukee Bucks
PG,Frank Mason III,15,68,#84 PG,,"5' 10""",189,25,3/4/1994,3rd season,Kansas,Milwaukee Bucks
SG,Donte DiVincenzo,0,83,#19 SG,1,"6' 3""",202,22,1/31/97,2nd season,Villanova,Milwaukee Bucks
SG,Pat Connaughton,24,77,#28 SG,2,"6' 5""",207,26,6/1/1993,5th season,Notre Dame,Milwaukee Bucks
SG,Cameron Reynolds,13,68,#48 SG,5,"6' 7""",224,24,7/2/1995,2nd season,Tulane,Milwaukee Bucks
SF,Khris Middleton,22,86,#8 SF,1,"6' 7""",220,28,12/8/1991,8th season,Texas A&M,Milwaukee Bucks
SF,Wesley Matthews,9,76,#42 SF,2,"6' 3""",218,33,10/14/86,11th season,Marquette,Milwaukee Bucks
SF,Sterling Brown,23,69,#60 SF,3,"6' 5""",231,24,10/2/1995,3rd season,SMU,Milwaukee Bucks
SF,Thanasis Antetokounmpo,43,68,#73 SF,4,"6' 5""",202,27,7/18/92,2nd season,,Milwaukee Bucks
PF,Giannis Antetokounmpo,34,95,#1 PF,1,"6' 11""",240,24,6/12/1994,7th season,,Milwaukee Bucks
PF,Ersan Ilyasova,7,76,#42 PF,2,"6' 9""",233,32,5/15/87,12th season,,Milwaukee Bucks
PF,Marvin Williams,2,75,#67 PF,2,"6' 7""",235,33,6/19/86,15th season,UNC,Milwaukee Bucks
PF,D.J. Wilson,5,73,#98 PF,3,"6' 9""",229,23,2/19/96,3rd season,Michigan,Milwaukee Bucks
PF,Kyle Korver,26,72,#49 PF,3,"6' 7""",211,38,3/17/81,17th season,Creighton,Milwaukee Bucks
C,Brook Lopez,11,79,#68 C,1,"6' 11""",268,31,1/4/1988,12th season,Stanford,Milwaukee Bucks
C,Robin Lopez,42,75,#69 C,2,"6' 11""",273,31,1/4/1988,12th season,Stanford,Milwaukee Bucks
PG,D'Angelo Russell,0,87,#11 PG,1,"6' 3""",196,23,2/23/96,5th season,Ohio State,Minnesota Timberwolves
PG,Jordan McLaughlin,6,76,#75 PG,2,"5' 10""",169,23,9/4/1996,Rookie,USC,Minnesota Timberwolves
PG,Evan Turner,1,73,#87 PG,4,"6' 5""",218,30,10/27/88,10th season,Ohio State,Minnesota Timberwolves
SG,Jarrett Culver,23,76,#60 SG,1,"6' 5""",194,20,2/20/99,Rookie,Texas Tech,Minnesota Timberwolves
SG,Josh Okogie,20,77,#18 SG,2,"6' 3""",211,21,1/9/1998,2nd season,Georgia Tech,Minnesota Timberwolves
SG,Malik Beasley,5,76,#30 SG,2,"6' 3""",196,22,11/26/96,4th season,Florida State,Minnesota Timberwolves
SG,Jacob Evans,12,73,#50 SG,3,"6' 3""",209,22,6/18/97,2nd season,Cincinnati,Minnesota Timberwolves
SG,Allen Crabbe,9,69,#56 SG,3,"6' 5""",211,27,9/4/1992,7th season,California,Minnesota Timberwolves
SG,Jaylen Nowell,4,70,#80 SG,5,"6' 3""",194,20,9/7/1999,Rookie,Washington,Minnesota Timberwolves
SF,Kelan Martin,30,67,#84 SF,2,"6' 5""",233,24,3/8/1995,Rookie,Butler,Minnesota Timberwolves
PF,Juan Hernangomez,41,73,#46 PF,1,"6' 9""",218,24,9/28/95,4th season,,Minnesota Timberwolves
PF,Omari Spellman,4,74,#32 PF,2,"6' 7""",244,22,7/21/97,2nd season,Villanova,Minnesota Timberwolves
PF,Jarred Vanderbilt,3,70,#63 PF,2,"6' 9""",213,20,3/4/1999,2nd season,Kentucky,Minnesota Timberwolves
PF,James Johnson,16,77,#55 PF,3,"6' 7""",238,32,2/20/87,11th season,Wake Forest,Minnesota Timberwolves
PF,Jake Layman,10,72,#44 PF,3,"6' 7""",207,25,7/3/1994,4th season,Maryland,Minnesota Timberwolves
C,Karl-Anthony Towns,24,89,#5 C,1,"6' 11""",246,23,11/15/95,5th season,Kentucky,Minnesota Timberwolves
C,Naz Reid,11,71,#87 C,3,"6' 9""",262,20,8/26/99,Rookie,LSU,Minnesota Timberwolves
PG,Lonzo Ball,2,82,#53 PG,1,"6' 5""",189,21,10/27/97,3rd season,UCLA,New Orlans Pelicans
PG,Jrue Holiday,11,81,#21 PG,1,"6' 2""",202,29,12/6/1990,11th season,UCLA,New Orlans Pelicans
PG,E'Twaun Moore,55,74,#71 PG,2,"6' 2""",189,30,2/25/89,9th season,Purdue,New Orlans Pelicans
PG,Frank Jackson,15,72,#77 PG,2,"6' 2""",202,21,4/5/1998,2nd season,Duke,New Orlans Pelicans
PG,J.J. Redick,4,80,#29 PG,3,"6' 2""",198,35,6/24/84,14th season,Duke,New Orlans Pelicans
PG,Josh Gray,5,68,#107 PG,,"6' 0""",178,26,9/9/1993,2nd season,LSU,New Orlans Pelicans
SG,N. Alexander-Walker,0,72,#25 SG,4,"6' 5""",202,21,2/9/1998,Rookie,Virginia Tech,New Orlans Pelicans
SF,Josh Hart,3,73,#46 SF,2,"6' 5""",213,24,6/3/1995,3rd season,Villanova,New Orlans Pelicans
SF,Darius Miller,21,70,#35 SF,3,"6' 5""",224,29,3/21/90,6th season,Kentucky,New Orlans Pelicans
SF,Zylan Cheatham,45,70,#85 SF,,"6' 5""",218,23,11/17/95,Rookie,,New Orlans Pelicans
PF,Brandon Ingram,14,89,#4 PF,1,"6' 7""",189,22,2/9/1997,4th season,Duke,New Orlans Pelicans
PF,Zion Williamson,1,85,#16 PF,1,"6' 5""",284,19,6/7/2000,Rookie,Duke,New Orlans Pelicans
PF,Kenrich Williams,34,74,#97 PF,2,"6' 5""",209,24,2/12/1994,2nd season,TCU,New Orlans Pelicans
C,Derrick Favors,22,77,#39 C,1,"6' 9""",264,28,7/15/91,10th season,Georgia Tech,New Orlans Pelicans
C,Jahlil Okafor,9,80,#71 C,2,"6' 9""",273,23,12/15/95,5th season,Duke,New Orlans Pelicans
C,Nicolo Melli,20,79,#83 C,3,"6' 9""",233,28,1/26/91,Rookie,,New Orlans Pelicans
C,Jaxson Hayes,10,77,#37 C,3,"6' 11""",218,19,5/23/00,Rookie,Texas,New Orlans Pelicans
PG,Elfrid Payton,6,79,#49 PG,1,"6' 2""",182,25,2/22/94,6th season,LA-Lafayette,New York Knicks
PG,Frank Ntilikina,11,74,#70 PG,2,"6' 3""",189,21,7/28/98,3rd season,,New York Knicks
PG,Dennis Smith Jr.,5,71,#69 PG,3,"6' 2""",194,21,11/25/97,3rd season,NC State,New York Knicks
PG,Allonzo Trier,14,73,#64 PG,4,"6' 3""",198,23,1/17/96,2nd season,Arizona,New York Knicks
PG,Kadeem Allen,0,69,#96 PG,4,"6' 0""",198,26,1/15/93,3rd season,Arizona,New York Knicks
SG,RJ Barrett,9,77,#22 SG,1,"6' 5""",200,19,6/14/00,Rookie,Duke,New York Knicks
SG,Wayne Ellington,2,71,#46 SG,2,"6' 3""",198,31,11/29/87,11th season,UNC,New York Knicks
SG,Damyean Dotson,21,75,#58 SG,3,"6' 5""",200,25,6/5/1994,3rd season,,New York Knicks
SF,Maurice Harkless,8,71,#38 SF,2,"6' 7""",218,26,11/5/1993,8th season,St. John's,New York Knicks
SF,Reggie Bullock,25,74,#51 SF,3,"6' 5""",198,28,3/16/91,7th season,UNC,New York Knicks
SF,Ignas Brazdeikis,17,72,#67 SF,4,"6' 5""",213,20,8/1/1999,Rookie,Michigan,New York Knicks
PF,Kevin Knox,20,75,#56 PF,1,"6' 7""",213,20,11/8/1999,2nd season,Kentucky,New York Knicks
PF,Kenny Wooten,45,72,#92 PF,,"6' 9""",218,21,4/17/98,Rookie,Oregon,New York Knicks
C,Julius Randle,30,85,#34 C,1,"6' 7""",249,24,11/29/94,6th season,Kentucky,New York Knicks
C,Mitchell Robinson,23,81,#15 C,1,"6' 11""",222,21,1/4/1998,2nd season,Western Kentucky,New York Knicks
C,Bobby Portis,1,79,#43 C,2,"6' 9""",244,24,10/2/1995,5th season,Arkansas,New York Knicks
C,Taj Gibson,67,77,#51 C,2,"6' 9""",224,34,6/24/85,11th season,USC,New York Knicks
PG,Chris Paul,3,86,#18 PG,1,"6' 0""",174,34,6/5/1985,15th season,Wake Forest,Oklahoma City Thunder
PG,Shai Gilgeous-Alexander,2,83,#26 PG,1,"6' 5""",180,21,12/7/1998,2nd season,Kentucky,Oklahoma City Thunder
PG,Dennis Schroder,17,82,#33 PG,2,"6' 0""",171,26,9/15/93,7th season,,Oklahoma City Thunder
SG,Luguentz Dort,5,73,#33 SG,3,"6' 2""",213,20,4/19/99,Rookie,Arizona State,Oklahoma City Thunder
SG,Deonte Burton,30,69,#74 SG,3,"6' 3""",238,25,1/31/94,2nd season,,Oklahoma City Thunder
SF,Terrance Ferguson,23,69,#68 SF,1,"6' 5""",189,21,5/17/98,3rd season,,Oklahoma City Thunder
SF,Andre Roberson,21,74,#21 SF,2,"6' 7""",209,27,4/12/1991,6th season,Colorado,Oklahoma City Thunder
SF,Hamidou Diallo,6,71,#76 SF,2,"6' 5""",200,21,7/31/98,2nd season,Kentucky,Oklahoma City Thunder
SF,Abdel Nader,11,71,#71 SF,3,"6' 5""",224,26,9/25/93,3rd season,,Oklahoma City Thunder
SF,Isaiah Roby,22,73,,,"6' 7""",229,21,3/2/1998,Rookie,Nebraska,Oklahoma City Thunder
PF,Danilo Gallinari,8,82,#5 PF,1,"6' 9""",231,31,8/8/1988,11th season,,Oklahoma City Thunder
PF,Darius Bazley,7,71,#88 PF,4,"6' 7""",207,19,12/6/2000,Rookie,,Oklahoma City Thunder
PF,Kevin Hervey,15,68,#89 PF,6,"6' 9""",229,23,9/7/1996,Rookie,UT Arlington,Oklahoma City Thunder
C,Steven Adams,12,81,#20 C,1,"6' 11""",264,26,7/20/93,7th season,Pitt,Oklahoma City Thunder
C,Nerlens Noel,9,81,#27 C,2,"6' 9""",218,25,10/4/1994,6th season,Kentucky,Oklahoma City Thunder
C,Mike Muscala,33,76,#56 C,2,"6' 9""",238,28,1/7/1991,7th season,Bucknell,Oklahoma City Thunder
PG,Markelle Fultz,20,75,#46 PG,1,"6' 2""",198,21,5/29/98,3rd season,Washington,Orlando Magics
PG,D.J. Augustin,14,74,#35 PG,2,"5' 10""",182,31,10/11/1987,12th season,Texas,Orlando Magics
PG,Michael Carter-Williams,7,79,#42 PG,3,"6' 5""",189,28,10/10/1991,7th season,Syracuse,Orlando Magics
SG,Melvin Frazier,35,70,#62 SG,4,"6' 5""",198,23,8/30/96,2nd season,Tulane,Orlando Magics
SF,Evan Fournier,10,78,#9 SF,1,"6' 7""",202,26,10/29/92,8th season,,Orlando Magics
SF,Terrence Ross,31,75,#41 SF,2,"6' 5""",205,28,5/2/1991,8th season,Washington,Orlando Magics
SF,Wesley Iwundu,25,73,#78 SF,2,"6' 5""",194,24,12/20/94,3rd season,Kansas State,Orlando Magics
SF,James Ennis,11,74,#26 SF,3,"6' 5""",209,29,1/7/1990,6th season,Cal State Long Beach,Orlando Magics
SF,Vic Law,23,69,#69 SF,,"6' 7""",198,23,12/19/95,Rookie,Northwestern,Orlando Magics
SF,B.J. Johnson,13,67,#62 SF,,"6' 7""",198,23,12/21/95,2nd season,,Orlando Magics
PF,Jonathan Isaac,1,84,#12 PF,1,"6' 11""",209,22,3/10/1997,3rd season,Florida State,Orlando Magics
PF,Aaron Gordon,0,81,#36 PF,1,"6' 7""",218,24,9/16/95,6th season,Arizona,Orlando Magics
PF,Al-Farouq Aminu,2,77,#34 PF,2,"6' 7""",218,29,9/21/90,10th season,Wake Forest,Orlando Magics
PF,Gary Clark,12,68,#86 PF,2,"6' 5""",224,24,11/16/94,2nd season,Cincinnati,Orlando Magics
C,Nikola Vucevic,9,84,#14 C,1,"6' 11""",257,28,10/24/90,9th season,USC,Orlando Magics
C,Khem Birch,24,69,#97 C,2,"6' 9""",231,27,9/28/92,3rd season,,Orlando Magics
C,Mohamed Bamba,5,78,#26 C,3,"6' 11""",240,21,12/5/1998,2nd season,Texas,Orlando Magics
PG,Ben Simmons,25,85,#10 PG,1,"6' 9""",229,23,7/20/96,3rd season,LSU,Philadelphia 76ers
PG,Raul Neto,19,70,#72 PG,2,"6' 0""",178,27,5/19/92,5th season,,Philadelphia 76ers
SG,Shake Milton,18,75,#39 SG,2,"6' 5""",205,23,9/26/96,2nd season,SMU,Philadelphia 76ers
SG,Zhaire Smith,5,74,#52 SG,2,"6' 2""",198,20,4/6/1999,2nd season,Texas Tech,Philadelphia 76ers
SG,Furkan Korkmaz,30,77,#41 SG,3,"6' 7""",189,22,7/24/97,3rd season,,Philadelphia 76ers
SG,Alec Burks,20,76,#12 SG,3,"6' 5""",213,28,7/20/91,9th season,Colorado,Philadelphia 76ers
SG,Matisse Thybulle,22,79,#9 SG,4,"6' 5""",198,22,4/3/1997,Rookie,Washington,Philadelphia 76ers
SG,Marial Shayok,35,68,#63 SG,4,"6' 5""",194,24,7/26/95,Rookie,,Philadelphia 76ers
SF,Josh Richardson,0,82,#24 SF,1,"6' 5""",198,26,9/15/93,5th season,Tennessee,Philadelphia 76ers
SF,Glenn Robinson III,40,77,#33 SF,2,"6' 5""",220,25,8/1/1994,6th season,Michigan,Philadelphia 76ers
PF,Tobias Harris,12,88,#15 PF,1,"6' 7""",233,27,7/15/92,9th season,Tennessee,Philadelphia 76ers
PF,Mike Scott,1,70,#75 PF,2,"6' 7""",235,31,7/16/88,8th season,Virginia,Philadelphia 76ers
C,Joel Embiid,24,92,#2 C,1,"6' 11""",249,25,3/16/94,4th season,Kansas,Philadelphia 76ers
C,Al Horford,42,84,#33 C,1,"6' 9""",244,33,3/6/1986,13th season,Florida,Philadelphia 76ers
C,Kyle O'Quinn,9,73,#79 C,2,"6' 9""",249,29,3/26/90,8th season,Norfolk State,Philadelphia 76ers
C,Norvel Pelle,14,69,#80 C,3,"6' 9""",213,26,3/2/1993,Rookie,,Philadelphia 76ers
PG,Ricky Rubio,11,77,#56 PG,1,"6' 2""",189,29,10/21/90,9th season,,Phoenix Suns
PG,Jevon Carter,4,75,#81 PG,2,"6' 0""",194,24,9/14/95,2nd season,West Virginia,Phoenix Suns
PG,Elie Okobo,2,70,#97 PG,3,"6' 2""",189,21,10/23/97,2nd season,,Phoenix Suns
PG,Ty Jerome,10,75,#88 PG,5,"6' 5""",194,22,8/7/1997,Rookie,Virginia,Phoenix Suns
PG,Jalen Lecque,0,71,#85 PG,6,"6' 2""",182,19,6/13/00,Rookie,,Phoenix Suns
PG,Jared Harper,12,67,#92 PG,,"5' 10""",174,22,9/14/97,Rookie,Auburn,Phoenix Suns
SG,Devin Booker,1,84,#1 SG,1,"6' 5""",209,22,10/30/96,5th season,Kentucky,Phoenix Suns
SF,Kelly Oubre Jr.,3,79,#18 SF,1,"6' 7""",202,23,9/12/1995,5th season,Kansas,Phoenix Suns
SF,Mikal Bridges,25,78,#17 SF,2,"6' 5""",209,23,8/30/96,2nd season,Villanova,Phoenix Suns
PF,Dario Saric,20,79,#40 PF,2,"6' 9""",224,25,8/4/1994,4th season,,Phoenix Suns
PF,Cameron Johnson,23,71,#77 PF,2,"6' 7""",202,23,3/3/1996,Rookie,,Phoenix Suns
PF,Tariq Owens,41,68,,,"6' 9""",202,24,6/30/95,Rookie,,Phoenix Suns
C,Deandre Ayton,22,88,#21 C,1,"6' 11""",249,21,7/23/98,2nd season,Arizona,Phoenix Suns
C,Aron Baynes,46,76,#19 C,1,"6' 9""",257,32,9/12/1986,8th season,Washington State,Phoenix Suns
C,Cheick Diallo,14,76,#49 C,2,"6' 7""",218,23,9/13/96,4th season,Kansas,Phoenix Suns
C,Frank Kaminsky,8,76,#66 C,3,"6' 11""",238,26,4/4/1993,5th season,Wisconsin,Phoenix Suns
PG,Damian Lillard,0,93,#5 PG,1,"6' 2""",194,29,7/15/90,8th season,Weber State,Portland Trail Blazers
SG,CJ McCollum,3,85,#5 SG,1,"6' 2""",196,28,9/19/91,7th season,Lehigh,Portland Trail Blazers
SG,Gary Trent Jr.,2,75,#13 SG,2,"6' 5""",207,20,1/18/99,2nd season,Duke,Portland Trail Blazers
SG,Anfernee Simons,1,73,#35 SG,2,"6' 2""",180,20,8/6/1999,2nd season,,Portland Trail Blazers
SF,Trevor Ariza,8,78,#30 SF,1,"6' 7""",213,34,6/30/85,16th season,UCLA,Portland Trail Blazers
SF,Rodney Hood,5,78,#20 SF,2,"6' 7""",207,27,10/20/92,6th season,,Portland Trail Blazers
SF,Jaylen Hoard,6,66,#65 SF,,"6' 7""",213,20,3/30/99,Rookie,Wake Forest,Portland Trail Blazers
PF,Carmelo Anthony,0,80,#61 PF,1,"6' 7""",238,35,5/29/84,17th season,Syracuse,Portland Trail Blazers
PF,Mario Hezonja,44,76,#58 PF,3,"6' 7""",200,24,2/25/95,5th season,,Portland Trail Blazers
PF,Nassir Little,9,71,#62 PF,3,"6' 5""",218,19,11/2/2000,Rookie,UNC,Portland Trail Blazers
PF,Caleb Swanigan,50,70,#66 PF,3,"6' 9""",257,22,4/18/97,3rd season,Purdue,Portland Trail Blazers
PF,Wenyen Gabriel,35,65,#103 PF,4,"6' 9""",218,22,3/26/97,Rookie,Kentucky,Portland Trail Blazers
C,Hassan Whiteside,21,88,#6 C,1,"6' 11""",233,30,6/13/89,8th season,Marshall,Portland Trail Blazers
C,Jusuf Nurkic,27,83,#24 C,2,"6' 11""",279,25,8/23/94,6th season,,Portland Trail Blazers
C,Zach Collins,33,77,#67 C,4,"6' 11""",231,21,11/19/97,3rd season,Gonzaga,Portland Trail Blazers
C,Moses Brown,4,70,#100 C,,"7' 1""",244,20,10/13/99,Rookie,UCLA,Portland Trail Blazers
PG,De'Aaron Fox,5,83,#24 PG,1,"6' 2""",182,21,12/20/97,3rd season,Kentucky,Sacramento Kings
PG,Cory Joseph,9,74,#82 PG,2,"6' 2""",198,28,8/20/91,9th season,Texas,Sacramento Kings
PG,Yogi Ferrell,3,70,#98 PG,3,"6' 0""",178,26,9/5/1993,4th season,Indiana,Sacramento Kings
SG,Buddy Hield,24,80,#7 SG,1,"6' 3""",218,26,12/17/92,4th season,Oklahoma,Sacramento Kings
SG,Bogdan Bogdanovic,8,79,#11 SG,2,"6' 5""",218,27,8/18/92,3rd season,,Sacramento Kings
SG,Justin James,10,70,#43 SG,2,"6' 7""",189,22,1/24/97,Rookie,Wyoming,Sacramento Kings
SG,Kyle Guy,7,70,#54 SG,3,"6' 0""",169,22,11/8/1997,Rookie,Virginia,Sacramento Kings
SG,DaQuan Jeffries,19,66,#66 SG,4,"6' 5""",213,22,8/30/97,Rookie,,Sacramento Kings
SF,Kent Bazemore,26,75,#34 SF,4,"6' 3""",194,30,1/7/1989,8th season,Old Dominion,Sacramento Kings
PF,Harrison Barnes,40,81,#53 PF,1,"6' 7""",224,27,5/30/92,8th season,UNC,Sacramento Kings
PF,Marvin Bagley III,35,79,#8 PF,1,"6' 11""",238,20,3/14/99,2nd season,Duke,Sacramento Kings
PF,Nemanja Bjelica,88,78,#13 PF,2,"6' 9""",233,31,9/5/1988,5th season,,Sacramento Kings
PF,Harry Giles,20,75,#43 PF,3,"6' 11""",238,21,4/22/98,2nd season,Duke,Sacramento Kings
PF,Jabari Parker,5,79,#28 PF,4,"6' 7""",244,24,3/15/95,6th season,Duke,Sacramento Kings
C,Richaun Holmes,22,80,#16 C,1,"6' 9""",238,26,10/15/93,5th season,Bowling Green,Sacramento Kings
C,Alex Len,25,80,#60 C,2,"6' 11""",249,26,6/16/93,7th season,Maryland,Sacramento Kings
PG,Dejounte Murray,5,79,#32 PG,1,"6' 3""",169,23,9/19/96,3rd season,Washington,San Antonio Spurs
PG,Patty Mills,8,80,#61 PG,2,"6' 0""",178,31,11/8/1988,11th season,Saint Mary's,San Antonio Spurs
PG,Derrick White,4,78,#55 PG,3,"6' 3""",189,25,2/7/1994,3rd season,,San Antonio Spurs
SG,Bryn Forbes,11,73,#20 SG,1,"6' 2""",189,26,7/23/93,4th season,Michigan State,San Antonio Spurs
SG,Lonnie Walker,1,71,#57 SG,2,"6' 5""",202,20,12/14/98,2nd season,Miami (FL),San Antonio Spurs
SG,Quinndary Weatherspoon,15,71,#61 SG,5,"6' 2""",205,23,10/9/1996,Rookie,Mississippi State,San Antonio Spurs
SF,DeMar DeRozan,10,88,#4 SF,1,"6' 5""",218,30,7/8/1989,11th season,USC,San Antonio Spurs
SF,Keldon Johnson,3,75,#59 SF,3,"6' 5""",209,20,11/10/1999,Rookie,Kentucky,San Antonio Spurs
SF,Marco Belinelli,18,70,#80 SF,4,"6' 5""",209,33,3/25/86,13th season,,San Antonio Spurs
PF,Rudy Gay,22,78,#20 PF,2,"6' 7""",229,33,8/17/86,14th season,UConn,San Antonio Spurs
PF,Trey Lyles,41,74,#68 PF,2,"6' 9""",233,23,5/11/1995,5th season,Kentucky,San Antonio Spurs
PF,Chimezie Metu,7,71,#83 PF,2,"6' 9""",224,22,3/22/97,2nd season,USC,San Antonio Spurs
PF,Luka Samanic,,74,#65 PF,4,"6' 9""",224,19,9/1/2000,Rookie,,San Antonio Spurs
PF,Drew Eubanks,14,67,#105 PF,,"6' 9""",244,22,1/2/1997,2nd season,Oregon State,San Antonio Spurs
C,LaMarcus Aldridge,12,86,#11 C,1,"6' 11""",257,34,7/19/85,14th season,Texas,San Antonio Spurs
C,Jakob Poltl,25,76,#29 C,1,"7' 1""",229,24,10/15/95,4th season,Utah,San Antonio Spurs
PG,Kyle Lowry,7,87,#15 PG,1,"6' 0""",194,33,3/25/86,14th season,Villanova,Toronto Raptors
PG,Fred VanVleet,23,82,#16 PG,2,"6' 0""",194,25,2/25/94,4th season,Wichita State,Toronto Raptors
SG,Norman Powell,24,80,#6 SG,2,"6' 2""",213,26,5/25/93,5th season,UCLA,Toronto Raptors
SG,Terence Davis,0,79,#10 SG,3,"6' 3""",202,22,5/16/97,Rookie,Ole Miss,Toronto Raptors
SG,Matt Thomas,21,77,#26 SG,4,"6' 3""",189,25,4/8/1994,Rookie,Iowa State,Toronto Raptors
SF,OG Anunoby,3,78,#15 SF,1,"6' 7""",231,22,7/17/97,3rd season,Indiana,Toronto Raptors
SF,Patrick McCaw,22,75,#29 SF,1,"6' 7""",182,23,10/25/95,4th season,UNLV,Toronto Raptors
SF,Rondae Hollis-Jefferson,4,81,#36 SF,2,"6' 5""",216,24,3/1/1995,5th season,Arizona,Toronto Raptors
SF,Malcolm Miller,13,69,#63 SF,3,"6' 7""",209,26,6/3/1993,3rd season,Holy Cross,Toronto Raptors
SF,Oshae Brissett,12,69,#88 SF,3,"6' 7""",209,21,6/20/98,Rookie,Syracuse,Toronto Raptors
SF,Paul Watson,1,66,#79 SF,3,"6' 7""",213,24,12/30/94,Rookie,Fresno State,Toronto Raptors
PF,Pascal Siakam,43,89,#6 PF,1,"6' 9""",229,25,2/4/1994,4th season,New Mexico State,Toronto Raptors
PF,Stanley Johnson,5,74,#84 PF,2,"6' 5""",244,23,5/29/96,5th season,Arizona,Toronto Raptors
PF,Chris Boucher,25,80,#21 PF,3,"6' 9""",198,26,11/1/1993,3rd season,Oregon,Toronto Raptors
C,Marc Gasol,33,80,#58 C,1,"6' 11""",253,34,1/29/85,12th season,,Toronto Raptors
C,Serge Ibaka,9,78,#55 C,2,"6' 11""",233,30,9/18/89,11th season,,Toronto Raptors
C,Dewan Hernandez,20,70,#90 C,4,"6' 9""",233,22,9/12/1996,Rookie,Miami (FL),Toronto Raptors
PG,Mike Conley,10,77,#20 PG,1,"6' 0""",174,32,11/10/1987,13th season,Ohio State,Utah Jazz
PG,Jordan Clarkson,0,78,#50 PG,2,"6' 3""",191,27,7/6/1992,6th season,,Utah Jazz
PG,Emmanuel Mudiay,15,77,#66 PG,2,"6' 2""",198,23,5/3/1996,5th season,,Utah Jazz
PG,Justin Wright-Foreman,,69,#111 PG,3,"6' 0""",189,21,10/27/97,Rookie,Hofstra,Utah Jazz
PG,Nigel Williams-Goss,0,71,#86 PG,4,"6' 2""",189,25,9/16/94,Rookie,,Utah Jazz
SG,Donovan Mitchell,45,90,#4 SG,1,"6' 0""",213,23,7/9/1996,3rd season,Louisville,Utah Jazz
SG,Miye Oni,24,71,#51 SG,3,"6' 5""",205,22,4/8/1997,Rookie,Yale,Utah Jazz
SG,Rayjon Tucker,6,71,#78 SG,5,"6' 5""",209,22,9/24/97,Rookie,,Utah Jazz
SF,Bojan Bogdanovic,44,81,#6 SF,1,"6' 7""",213,30,4/18/89,6th season,,Utah Jazz
